age_range,gender,study_level,study_year,study_field ,extracurricular_activities,cog_engage1,cog_engage2,cog_engage3,cog_engage4,exercise_improve_cognition,exercise_regulate_emotion,nature_improve,nutritional_balanced_freq,junk_food_freq,nutritional_mood_focus,creative_activities_benefits,doomscroll_exhaust,screen_time,screen_content,sleep_deprivation_reason,sleep_disrupt_flexibility,multitask_check_phone,multitask_notifications,sedentary_behavior1,sedentary_behavior2,learning1,learning2,performance_reflects_potential,responsibilities_interfere
18-23 years,Male,Undergraduate,4th Year,Life Sciences,Volunteering,Neutral,Agree,Neutral,Disagree,Mostly,Neutral,Sometimes,Sometimes,1-2 times/week,Often,Agree,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Agree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree
18-23 years,Female,Postgraduates,,Social Sciences,,Strongly Agree,Strongly Agree,Agree,Agree,Extremely,Mostly,Always,Often,1-2 times/week,Often,Strongly Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Strongly Agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree
18-23 years,Male,Postgraduates,,Life Sciences,"Job, Buisness",Agree,Agree,Agree,Agree,A little,A little,Always,Often,3-4 times/week,Never,Agree,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Does not apply to me,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral
18-23 years,Female,Undergraduate,3rd Year,Life Sciences,Volunteering,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Extremely,Extremely,Always,Often,1-2 times/week,Always,Strongly Agree,Agree,Less than 2 hours,"Thoughtful / Educational Content (learning, coding, reading, research)","Academic Workload, Irregular Routine",Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree
18-23 years,Female,Postgraduates,,Life Sciences,,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Sometimes,Occasionally,3-4 times/week,Occasionally,Agree,Strongly Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Agree,Neutral,Neutral,Neutral,Neutral,Mostly,Often,Always,3-4 times/week,Sometimes,Agree,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Agree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral
24-27 years,Male,Postgraduates,,Computational Sciences,,Strongly Agree,Strongly Agree,Agree,Agree,Extremely,Extremely,Often,Sometimes,5-6 times/week,Often,Agree,Strongly Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Social Media Scrolling / Doomscrolling",Does not apply to me,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Sometimes,Often,5-6 times/week,Sometimes,Neutral,Neutral,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Stress or Anxiety",Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral
18-23 years,Male,Undergraduate,4th Year,Life Sciences,Online Business,Strongly Agree,Strongly Agree,Agree,Neutral,Mostly,Extremely,Always,Always,5-6 times/week,Often,Agree,Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
18-23 years,Male,Undergraduate,3rd Year,Natural Sciences,Online Business,Strongly Agree,Agree,Neutral,Disagree,Extremely,Extremely,Often,Sometimes,1-2 times/week,Sometimes,Strongly Agree,Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)","Academic Workload, Use of Electronic Devices before bed",Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral
