age_range,gender,study_level,study_year,study_field ,extracurricular_activities,cog_engage1,cog_engage2,cog_engage3,cog_engage4,exercise_improve_cognition,exercise_regulate_emotion,nature_improve,nutritional_balanced_freq,junk_food_freq,nutritional_mood_focus,creative_activities_benefits,doomscroll_exhaust,screen_time,screen_content,sleep_deprivation_reason,sleep_disrupt_flexibility,multitask_check_phone,multitask_notifications,sedentary_behavior1,sedentary_behavior2,learning1,learning2,performance_reflects_potential,responsibilities_interfere
18-23 years,Female,Undergraduate,4th Year,Computational Sciences,Brand Shooting Videos ,Neutral,Disagree,Neutral,Disagree,A little,Mostly,Sometimes,Often,1-2 times/week,Often,Agree,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly Agree
18-23 years,Female,Undergraduate,4th Year,Computational Sciences,,Agree,Agree,Neutral,Neutral,Mostly,Mostly,Often,Often,1-2 times/week,Sometimes,Agree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral
18-23 years,Female,Undergraduate,4th Year,Computational Sciences,,Agree,Neutral,Disagree,Disagree,Mostly,Mostly,Sometimes,Occasionally,3-4 times/week,Often,Agree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Irregular Routine",Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral
18-23 years,Male,Undergraduate,4th Year,Business & Management Sciences,Part-time Job,Strongly Agree,Agree,Agree,Agree,A little,Extremely,Sometimes,Occasionally,5-6 times/week,Occasionally,Neutral,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)","Use of Electronic Devices before bed, Irregular Routine",Neutral,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral
18-23 years,Male,Undergraduate,4th Year,Computational Sciences,"Internship, Research Work",Agree,Agree,Strongly Agree,Strongly Agree,Mostly,Extremely,Often,Often,1-2 times/week,Occasionally,Strongly Agree,Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Academic Workload,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree
33-40 years,Female,Postgraduates,,Social Sciences,Part-time Job,Neutral,Neutral,Agree,Disagree,Mostly,Mostly,Often,Often,1-2 times/week,Always,Agree,Agree,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Neutral,Disagree,Disagree,Disagree,Neutral,Mostly,Often,Occasionally,5-6 times/week,Often,Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Does not apply to me,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree
24-27 years,Female,Undergraduate,4th Year,Medical Sciences,"Part-time Job, Internship, Research Work",Strongly Disagree,Neutral,Neutral,Agree,A little,Mostly,Always,Never,3-4 times/week,Never,Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Use of Electronic Devices before bed,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Medical Sciences,,Strongly Disagree,Agree,Agree,Neutral,Mostly,A little,Occasionally,Occasionally,3-4 times/week,Sometimes,Neutral,Strongly Disagree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Internship,Agree,Strongly Agree,Strongly Agree,Agree,Extremely,Mostly,Often,Sometimes,1-2 times/week,Often,Neutral,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Use of Electronic Devices before bed,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Online Business,Strongly Disagree,Agree,Agree,Strongly Disagree,Mostly,A little,Sometimes,Sometimes,1-2 times/week,Always,Neutral,Disagree,4-6 hours,Social Media Scrolling / Doomscrolling,Irregular Routine,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree
18-23 years,Female,Undergraduate,2nd Year,Applied Arts,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sometimes,Never,Never,Occasionally,Neutral,Neutral,Less than 2 hours,Social Media Scrolling / Doomscrolling,Academic Workload,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,3rd Year,Life Sciences,,Neutral,Agree,Neutral,Neutral,A little,Not at all,Sometimes,Sometimes,1-2 times/week,Sometimes,Agree,Disagree,6-8 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree
18-23 years,Female,Undergraduate,3rd Year,Computational Sciences,,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Mostly,Mostly,Often,Sometimes,1-2 times/week,Sometimes,Agree,Agree,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Academic Workload, Does not apply to me",Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree
18-23 years,Female,Undergraduate,4th Year,Medical Sciences,Research Work,Strongly Agree,Neutral,Neutral,Agree,Mostly,Mostly,Often,Occasionally,3-4 times/week,Sometimes,Strongly Agree,Strongly Agree,4-6 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree
18-23 years,Female,Undergraduate,3rd Year,Computational Sciences,,Agree,Strongly Agree,Agree,Agree,A little,Mostly,Sometimes,Never,1-2 times/week,Sometimes,Agree,Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree
28-32 years,Female,Undergraduate,4th Year,Life Sciences,Internship,Strongly Agree,Agree,Agree,Agree,A little,Mostly,Occasionally,Sometimes,Never,Often,Strongly Agree,Neutral,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree
28-32 years,Male,Postgraduates,,Natural Sciences,"Part-time Job, Internship, Online Business, Research Work, Volunteering",Agree,Agree,Agree,Agree,Mostly,Mostly,Always,Always,1-2 times/week,Often,Strongly Agree,Disagree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree
18-23 years,Female,Undergraduate,3rd Year,Health Sciences,Volunteering,Strongly Agree,Agree,Strongly Agree,Neutral,Mostly,Extremely,Always,Sometimes,1-2 times/week,Often,Neutral,Strongly Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral
18-23 years,Female,Undergraduate,3rd Year,Health Sciences,,Neutral,Neutral,Agree,Neutral,A little,A little,Occasionally,Often,3-4 times/week,Sometimes,Agree,Neutral,4-6 hours,Social Media Scrolling / Doomscrolling,Use of Electronic Devices before bed,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral
18-23 years,Male,Undergraduate,3rd Year,Life Sciences,Sports,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,A little,Extremely,Always,Always,5-6 times/week,Always,Strongly Agree,Strongly Disagree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
18-23 years,Female,Undergraduate,3rd Year,Health Sciences,,Agree,Agree,Agree,Disagree,Neutral,Mostly,Always,Often,1-2 times/week,Sometimes,Agree,Agree,4-6 hours,Social Media Scrolling / Doomscrolling,Use of Electronic Devices before bed,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree
18-23 years,Female,Undergraduate,3rd Year,Health Sciences,Internship,Strongly Agree,Agree,Agree,Agree,Mostly,Mostly,Often,Sometimes,3-4 times/week,Sometimes,Agree,Strongly Agree,Less than 2 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Stress or Anxiety,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral
18-23 years,Female,Undergraduate,3rd Year,Health Sciences,,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,A little,Not at all,Always,Sometimes,1-2 times/week,Occasionally,Agree,Agree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)","Academic Workload, Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Neutral,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree
18-23 years,Female,Undergraduate,3rd Year,Health Sciences,Internship,Agree,Agree,Neutral,Neutral,Mostly,Mostly,Sometimes,Sometimes,1-2 times/week,Often,Neutral,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,3rd Year,Health Sciences,Internship,Agree,Neutral,Neutral,Agree,Mostly,Mostly,Often,Sometimes,1-2 times/week,Often,Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,,Agree,Neutral,Disagree,Neutral,A little,A little,Sometimes,Sometimes,Daily,Never,Strongly Disagree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree
18-23 years,Male,Undergraduate,1st Year,Computational Sciences,Online Business,Agree,Neutral,Neutral,Neutral,Neutral,Mostly,Sometimes,Occasionally,3-4 times/week,Occasionally,Agree,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Academic Workload,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sometimes,Sometimes,1-2 times/week,Never,Neutral,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,2nd Year,Computational Sciences,,Agree,Neutral,Strongly Disagree,Neutral,A little,Mostly,Occasionally,Often,3-4 times/week,Sometimes,Agree,Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Use of Electronic Devices before bed,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Neutral,Neutral,Neutral,Neutral,Neutral,Mostly,Sometimes,Sometimes,Daily,Never,Neutral,Strongly Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral
18-23 years,Male,Undergraduate,1st Year,Computational Sciences,,Agree,Agree,Agree,Agree,Mostly,A little,Sometimes,Sometimes,1-2 times/week,Sometimes,Agree,Strongly Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Academic Workload,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
18-23 years,Female,Undergraduate,2nd Year,Life Sciences,,Agree,Agree,Neutral,Neutral,Mostly,Mostly,Sometimes,Sometimes,3-4 times/week,Occasionally,Neutral,Neutral,2-4 hours,Social Media Scrolling / Doomscrolling,Does not apply to me,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree
18-23 years,Female,Undergraduate,2nd Year,Computational Sciences,,Neutral,Agree,Agree,Agree,Neutral,A little,Always,Sometimes,3-4 times/week,Sometimes,Neutral,Neutral,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral
18-23 years,Male,Undergraduate,3rd Year,Computational Sciences,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Mostly,Mostly,Often,Often,5-6 times/week,Sometimes,Strongly Agree,Strongly Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Strongly Agree,Agree,Neutral,Agree,Neutral,A little,Often,Always,3-4 times/week,Often,Strongly Agree,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Irregular Routine,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral
18-23 years,Male,Undergraduate,1st Year,Computational Sciences,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sometimes,Often,1-2 times/week,Occasionally,Neutral,Neutral,4-6 hours,Social Media Scrolling / Doomscrolling,Academic Workload,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,3rd Year,Life Sciences,"None, Working on projects",Agree,Agree,Agree,Disagree,Mostly,A little,Sometimes,Often,1-2 times/week,Always,Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral
18-23 years,Male,Undergraduate,1st Year,Computational Sciences,Content creator ,Agree,Agree,Strongly Agree,Strongly Agree,Extremely,Mostly,Often,Always,1-2 times/week,Always,Strongly Agree,Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)","Academic Workload, Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,Part-time Job,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Extremely,Extremely,Always,Always,3-4 times/week,Often,Strongly Agree,Agree,4-6 hours,Social Media Scrolling / Doomscrolling,Irregular Routine,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
18-23 years,Female,Undergraduate,3rd Year,Computational Sciences,,Agree,Strongly Agree,Strongly Agree,Agree,Mostly,Mostly,Always,Often,3-4 times/week,Always,Strongly Agree,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree
18-23 years,Female,Undergraduate,2nd Year,Computational Sciences,,Neutral,Agree,Neutral,Agree,Mostly,Extremely,Sometimes,Always,1-2 times/week,Sometimes,Agree,Agree,2-4 hours,Social Media Scrolling / Doomscrolling,Does not apply to me,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree
18-23 years,Male,Undergraduate,3rd Year,Life Sciences,,Agree,Agree,Agree,Agree,Mostly,Mostly,Often,Always,1-2 times/week,Sometimes,Agree,Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Irregular Routine,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,4th Year,Life Sciences,,Neutral,Neutral,Neutral,Neutral,Neutral,Extremely,Sometimes,Always,1-2 times/week,Sometimes,Neutral,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Academic Workload,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,2nd Year,Computational Sciences,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sometimes,Sometimes,1-2 times/week,Sometimes,Neutral,Neutral,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Male,Undergraduate,1st Year,Computational Sciences,Volunteering,Strongly Agree,Neutral,Agree,Strongly Agree,Extremely,Extremely,Always,Always,3-4 times/week,Sometimes,Neutral,Disagree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree
18-23 years,Male,Undergraduate,1st Year,Computational Sciences,,Agree,Strongly Disagree,Neutral,Disagree,A little,Mostly,Always,Occasionally,1-2 times/week,Sometimes,Disagree,Agree,4-6 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral
24-27 years,Female,Undergraduate,3rd Year,Life Sciences,Self-Study ,Strongly Agree,Agree,Agree,Agree,Mostly,Extremely,Always,Sometimes,1-2 times/week,Always,Agree,Disagree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Irregular Routine,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Agree,Agree,Neutral,Disagree,A little,Neutral,Sometimes,Often,5-6 times/week,Sometimes,Agree,Strongly Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral
18-23 years,Male,Undergraduate,1st Year,Business & Management Sciences,,Agree,Neutral,Strongly Disagree,Neutral,A little,A little,Sometimes,Sometimes,3-4 times/week,Occasionally,Neutral,Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Agree,Agree,Agree,Disagree,Not at all,Mostly,Often,Sometimes,3-4 times/week,Often,Neutral,Agree,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Online Business,Agree,Neutral,Agree,Agree,A little,A little,Sometimes,Often,1-2 times/week,Never,Agree,Neutral,More than 8 hours,Social Media Scrolling / Doomscrolling,Use of Electronic Devices before bed,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree
18-23 years,Female,Undergraduate,3rd Year,Life Sciences,Part-time Job,Strongly Agree,Agree,Agree,Neutral,A little,A little,Always,Sometimes,3-4 times/week,Occasionally,Agree,Neutral,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Does not apply to me,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree
18-23 years,Female,Undergraduate,3rd Year,Computational Sciences,,Agree,Agree,Neutral,Agree,Mostly,Mostly,Occasionally,Occasionally,5-6 times/week,Never,Disagree,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Neutral,Agree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Neutral
18-23 years,Female,Undergraduate,3rd Year,Medical Sciences,"Internship, Research Work",Agree,Neutral,Agree,Neutral,Mostly,Mostly,Often,Sometimes,Daily,Sometimes,Neutral,Agree,4-6 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Neutral,Strongly Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,4th Year,Medical Sciences,Internship,Agree,Agree,Agree,Agree,Mostly,Mostly,Always,Sometimes,3-4 times/week,Often,Agree,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
18-23 years,Female,Undergraduate,3rd Year,Medical Sciences,Involved in weekly Clinical Rotations ,Agree,Agree,Agree,Agree,Mostly,Mostly,Often,Always,3-4 times/week,Often,Agree,Neutral,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Irregular Routine,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Humanities,,Agree,Neutral,Neutral,Disagree,A little,Extremely,Always,Sometimes,1-2 times/week,Sometimes,Agree,Disagree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Use of Electronic Devices before bed,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree
24-27 years,Female,Postgraduates,,Applied Sciences,Research Work,Strongly Agree,Agree,Strongly Agree,Agree,Mostly,Extremely,Always,Often,1-2 times/week,Always,Strongly Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Irregular Routine,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree
18-23 years,Male,Undergraduate,4th Year,Applied Sciences,,Agree,Neutral,Agree,Agree,Neutral,Extremely,Always,Sometimes,3-4 times/week,Sometimes,Agree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral
18-23 years,Male,Undergraduate,2nd Year,Applied Sciences,,Agree,Neutral,Neutral,Agree,Neutral,Mostly,Sometimes,Sometimes,1-2 times/week,Sometimes,Neutral,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,3rd Year,Applied Sciences,,Strongly Agree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Sometimes,Occasionally,Daily,Always,Disagree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral
24-27 years,Female,Postgraduates,,Medical Sciences,"Internship, Volunteering",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Often,Occasionally,5-6 times/week,Often,Strongly Agree,Strongly Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)","Academic Workload, Irregular Routine",Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree
18-23 years,Female,Undergraduate,3rd Year,Medical Sciences,,Agree,Agree,Neutral,Disagree,A little,Neutral,Sometimes,Often,1-2 times/week,Sometimes,Neutral,Neutral,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree
18-23 years,Female,Undergraduate,3rd Year,Medical Sciences,Volunteering,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Always,Occasionally,3-4 times/week,Sometimes,Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Academic Workload, Use of Electronic Devices before bed",Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Disagree
18-23 years,Female,Undergraduate,4th Year,Medical Sciences,,Agree,Neutral,Agree,Neutral,Neutral,A little,Sometimes,Often,1-2 times/week,Occasionally,Agree,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Disagree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree
18-23 years,Female,Undergraduate,4th Year,Applied Sciences,,Strongly Agree,Agree,Neutral,Neutral,Mostly,Extremely,Always,Often,1-2 times/week,Often,Strongly Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree
18-23 years,Male,Undergraduate,2nd Year,Applied Sciences,,Strongly Agree,Agree,Neutral,Disagree,A little,Mostly,Often,Sometimes,1-2 times/week,Sometimes,Neutral,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree
24-27 years,Female,Undergraduate,,Medical Sciences,Volunteering,Strongly Agree,Disagree,Agree,Disagree,Neutral,Mostly,Sometimes,Sometimes,3-4 times/week,Occasionally,Agree,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree
18-23 years,Female,Undergraduate,2nd Year,Medical Sciences,,Strongly Agree,Strongly Agree,Agree,Agree,Not at all,Mostly,Sometimes,Occasionally,1-2 times/week,Sometimes,Neutral,Strongly Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Does not apply to me,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree
24-27 years,Male,Undergraduate,4th Year,Computational Sciences,Volunteering,Strongly Agree,Disagree,Agree,Agree,Neutral,Mostly,Always,Occasionally,1-2 times/week,Sometimes,Agree,Strongly Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Social Media Scrolling / Doomscrolling",Irregular Routine,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree
18-23 years,Female,Postgraduates,,Computational Sciences,"Part-time Job, Research Work",Strongly Agree,Disagree,Disagree,Neutral,Mostly,Mostly,Often,Occasionally,3-4 times/week,Often,Agree,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research)","Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree
